title,Color,overview
T-Shirt,Blue,A comfortable blue cotton T-shirt with a round neck.
Jeans,Black,A pair of black skinny jeans made from stretch denim.
Hoodie,Gray,A cozy gray hoodie with a front pocket and drawstrings.
Sundress,Floral,A floral print sundress perfect for a sunny day.
Sweater,Red,A warm red sweater made from soft wool.
Shorts,Khaki,Classic khaki shorts with a relaxed fit.
Blouse,White,A crisp white blouse with a button-up front.
Jacket,Leather,A stylish black leather jacket with a zippered front.
Skirt,Striped,A knee-length striped skirt in various shades.
Sneakers,White,White canvas sneakers with a rubber sole.
Dress,Green,A long green evening dress with a flowing silhouette.
Polo Shirt,Navy,A navy blue polo shirt with a logo on the chest.
Chinos,Beige,Beige chinos crafted from lightweight cotton.
Cardigan,Pink,A light pink cardigan with a V-neck and button closure.
Tank Top,Gray,An athletic gray tank top made from breathable fabric.
Sweatpants,Black,Black sweatpants for a casual and comfortable look.
High Heels,Red,Classic red high heels with a pointed toe.
Swim Trunks,Blue,Blue swim trunks perfect for a day at the beach.
Maxi Dress,Purple,A flowing purple maxi dress for a stylish look.
Cropped Jeans,Light Blue,Light blue cropped jeans with a distressed finish.
Button-down Shirt,Striped,A striped button-down shirt for a polished appearance.
Joggers,Gray,Comfortable gray joggers with an elastic waistband.
Ankle Boots,Brown,Brown leather ankle boots with a chunky heel.
Puffer Jacket,Black,A black puffer jacket with a hood for warmth in winter.
Pencil Skirt,Black,A classic black pencil skirt for a professional look.
Flannel Shirt,Plaid,A plaid flannel shirt for a cozy and casual style.
Leggings,Charcoal,Charcoal gray leggings perfect for workouts or lounging.
Peacoat,Navy,A navy blue peacoat for a timeless and sophisticated look.
Midi Skirt,Floral,A floral print midi skirt for a feminine touch.
V-neck Sweater,Beige,A beige V-neck sweater made from soft cashmere.
Cargo Pants,Olive,Comfortable olive green cargo pants with multiple pockets.
Shift Dress,White,A simple white shift dress for a minimalist look.
Rain Jacket,Yellow,A bright yellow rain jacket with a waterproof finish.
Capri Pants,Coral,Coral capri pants for a summery and vibrant style.
Graphic Tee,Black,A black graphic tee with a bold design on the front.
Bomber Jacket,Green,A green bomber jacket with ribbed cuffs and hem.
Ruffled Blouse,Blue,A blue ruffled blouse with a high neckline.
Culottes,Gray,Gray culottes with a wide leg for a trendy look.
Mock Neck Sweater,Burgundy,A burgundy mock neck sweater for a cozy feel.
Denim Jacket,Distressed,A distressed denim jacket with a worn-in look.
Wrap Dress,Polka Dot,A polka dot wrap dress for a playful and chic style.
Polo Dress,Light Pink,A light pink polo dress for a sporty yet feminine look.
Crewneck Sweatshirt,Maroon,A maroon crewneck sweatshirt for a laid-back vibe.
